Country Code,Country Name_x,Continent_x,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
COG,"Congo, Rep.",Africa,39.766,39.601,39.655,39.788,39.527,39.758,39.504,39.704,39.817,39.552,39.465,39.24,42.8,41.415,40.767
COL,Colombia,South America,21.58,22.474,21.856,20.495,19.307,18.233,17.659,16.695,17.586,17.879,18.618,20.046,25.926,24.801,21.608
COM,Comoros,Africa,13.479,14.411,15.316,16.231,17.182,18.075,19.083,19.06,18.932,18.889,18.899,18.967,21.253,20.411,20.273
CPV,Cabo Verde,Africa,22.265,22.704,22.969,23.901,24.999,26.118,27.302,28.543,29.8,31.25,27.104,27.649,32.924,30.615,30.191
CRI,Costa Rica,North America,11.043,18.082,17.397,22.061,22.395,21.595,24.28,22.427,21.561,20.804,25.126,31.282,40.16,39.27,31.89
CSS,Caribbean small states,North America,17.0739429168728,18.7172122158305,19.0322171513487,19.520669152422,21.3438292993818,23.2433794557782,22.4985185599618,21.6354105075814,22.5601570037947,21.0011994701472,19.6403727500222,18.9571111200141,22.9439956167659,21.8239640460949,18.8335761598593
CUB,Cuba,North America,3.36,3.497,6.035,7.775,8.601,8.26,6.805,6.203,5.201,4.531,4.535,3.245,3.553,3.646,3.474
CYP,Cyprus,Europe,8.438,13.054,15.732,21.168,26.868,37.93,35.466,32.349,28.735,24.558,20.114,16.497,18.109,17.089,18.691
CZE,Czech Republic,Europe,9.86,16.656,18.362,18.062,19.515,18.966,15.852,12.596,10.497,7.945,6.714,5.615,7.946,8.166,7.079
DEU,Germany,Europe,10.553,11.212,9.821,8.506,8.031,7.811,7.733,7.212,7.032,6.758,6.184,5.77,7.132,6.898,5.753
DJI,Djibouti,Africa,65.09,66.627,67.796,68.59,69.629,70.508,71.297,72.208,73.052,74.036,73.893,73.91,78.778,77.034,77.194
DNK,Denmark,Europe,9.456,13.431,15.56,16.304,15.769,14.76,14.201,12.151,12.153,12.392,10.513,10.047,11.591,10.814,8.782
DOM,Dominican Republic,North America,10.576,12.515,10.83,14.006,14.857,17.418,13.363,16.467,16.766,13.462,14.881,15.578,14.807,16.906,16.173
DZA,Algeria,Africa,24.272,21.617,21.909,22.61,27.7,25.56,25.4,30.258,26.168,26.61,26.924,27.187,31.113,29.341,29.026
EAP,East Asia and Pacific,Asia,10.3034034989196,10.4863493305159,9.93019683042206,10.0959372214423,9.88246141163578,10.0279852689061,10.2353166788374,10.5759329377844,10.3625319107511,10.1096671303468,9.69697029083835,9.89013869057047,11.5004606669104,11.4387269743013,11.6581220811768
EAR,Early-demographic dividend,Global,15.2870711583321,15.9213070172091,16.1333646991274,16.3795371517602,16.8608970581231,17.4404768248072,17.7499810683471,18.5405541672136,18.8733489596585,19.1881704598566,19.5614200002889,17.9724314647729,22.0877175343049,18.9597013377761,18.2456770472458
EAS,East Asia & Pacific (excluding high income),Asia,10.1710278299439,10.490315451725,9.95449553841475,10.0496076553556,9.84400792287665,9.93525708351275,10.1196748404379,10.4219030080107,10.2080650885846,9.94263620747043,9.51764162335494,9.69588008745004,11.2526613130074,11.0985993482165,11.2287181497984
ECA,Europe and Central Asia,Europe,15.2196708710281,18.4670435815383,17.6147148746171,16.3080075806223,15.9841784356476,15.9406761636537,16.6968585563105,17.3247927300299,17.3631449720175,17.021343844163,16.9081536054907,17.3260029995787,18.3886021557608,17.4451149064286,16.488693677509787
ECS,Europe & Central Asia (excluding high income),Europe,15.7454896607351,19.5959214414056,19.7494546882143,19.5132081538294,20.289508252423,20.753198524409,20.5162345407014,19.9359961344165,19.1173770682368,17.8957818698324,16.9148045651214,16.5872286682801,18.1224137139098,17.5586148208904,15.2873401886484
ECU,Ecuador,South America,9.152,9.852,9.268,8.891,8.526,8.329,9.043,8.84,10.37,8.483,7.964,8.73,11.079,9.146,8.649
EGY,Egypt,Africa,25.437,25.127,24.499,29.356,34.379,34.102,32.206,34.188,33.689,32.703,26.323,20.707,18.423,17.817,17.103
EMU,Euro area,Europe,16.615970889561,21.4920623473122,22.5241690947401,23.1792617489905,25.8453069744074,27.1457302879218,26.8046224905822,25.352796200453,23.9100268251635,21.5961169261717,19.621733864187,18.277420716304,20.2563296721392,19.626195998819,16.6554217919669
ERI,Eritrea,Africa,10.054,10.18,10.712,10.373,10.158,10.008,10.018,10.179,10.162,10.142,9.824,9.805,12.264,11.305,11.09
ESP,Spain,Europe,24.455,37.743,41.494,46.188,52.868,55.47,53.202,48.356,44.471,38.574,34.352,32.531,38.28,34.8,28.339
EST,Estonia,Europe,12.022,27.42,32.937,22.387,20.852,18.704,14.963,14.333,14.118,12.18,12.063,11.619,18.422,16.64,20.154
ETH,Ethiopia,Africa,3.523,3.512,3.472,3.462,3.46,3.436,3.722,4.012,4.305,4.6,4.899,5.201,6.647,6.135,6.327
EUU,European Union,Europe,16.6933811633746,21.2911272887718,22.6484493578629,23.4675065649529,25.6531690363662,26.7714480566206,25.8562335016243,24.0903012830636,22.3437630967743,20.0407659413017,18.092074189536,16.8941395289379,18.8470853453223,18.6738166048,15.8189284343187
FCS,Fragile and conflict affected situations,Global,11.0851615474516,10.9433484021991,11.329935900018,11.4969821155856,11.5805866858362,11.6550029018948,11.939555975267,12.1695335544327,12.4784012782702,12.8076249650613,13.0201301735817,13.278280297047,14.9870769232218,14.8271369199364,14.493792742768
FIN,Finland,Europe,16.347,21.397,21.265,19.938,18.863,19.805,20.436,22.343,20.062,20.042,16.943,17.084,21.216,17.031,14.471
